ano,organização,sigla,SG_nome,país
1975,Food and Agriculture Organization,FAO,"Boerma, Addeke Hendrik",Holanda
1976,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1977,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1978,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1979,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1980,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1981,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1982,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1983,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1984,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1985,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1986,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1987,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1988,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1989,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1990,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1991,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1992,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1993,Food and Agriculture Organization,FAO,"Saouma, Édouard Victo",Líbano
1994,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
1995,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
1996,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
1997,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
1998,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
1999,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2000,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2001,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2002,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2003,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2004,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2005,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2006,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2007,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2008,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2009,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2010,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2011,Food and Agriculture Organization,FAO,"Diouf, Jacque",Senegal
2012,Food and Agriculture Organization,FAO,"Graziano da Silva, José",Brasil
2013,Food and Agriculture Organization,FAO,"Graziano da Silva, José",Brasil
2014,Food and Agriculture Organization,FAO,"Graziano da Silva, José",Brasil
2015,Food and Agriculture Organization,FAO,"Graziano da Silva, José",Brasil
2016,Food and Agriculture Organization,FAO,"Graziano da Silva, José",Brasil
2017,Food and Agriculture Organization,FAO,"Graziano da Silva, José",Brasil
1975,General Agreement on Tariffs and Trade,GATT,"Long, Olivier",Suíça
1976,General Agreement on Tariffs and Trade,GATT,"Long, Olivier",Suíça
1977,General Agreement on Tariffs and Trade,GATT,"Long, Olivier",Suíça
1978,General Agreement on Tariffs and Trade,GATT,"Long, Olivier",Suíça
1979,General Agreement on Tariffs and Trade,GATT,"Long, Olivier",Suíça
1980,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
1981,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
1982,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
1983,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
1984,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
1985,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
1986,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
1987,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
1988,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
1989,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
1990,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
1991,General Agreement on Tariffs and Trade,GATT,"Dunkel, Arthur",Suíça
